1,홍길동,91,70,62,223,74.3333333333,1
2,유관순,62,52,99,213,71,1
3,이순신,56,86,79,221,73.6666666667,1
4,강감찬,50,61,59,170,56.6666666667,1
5,김구,79,52,100,231,77,1
6,김유신,67,92,80,239,79.6666666667,1
7,홍길자,93,65,52,210,70,1
8,홍길순,52,76,69,197,65.6666666667,1
9,feplate8,73,70,67,210,70,1
10,astewa,77,85,87,249,83,1
11,cindera,72,71,95,238,79.3333333333,1
12,cbrockb,50,82,69,201,67,1
13,jcrasterc,95,100,92,287,95.6666666667,1
14,cheijnend,76,97,56,229,76.3333333333,1
15,jantate,82,79,92,253,84.3333333333,1
16,cfearickf,98,54,83,235,78.3333333333,1
17,gmclac,86,78,55,219,73,1
18,sziemkeh,75,94,88,257,85.6666666667,1
19,yedessi,79,98,98,275,91.6666666667,1
20,ncellij,72,94,94,260,86.6666666667,1
